Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,^NDX
Date,,,,,,
1986-04-30,154.9100037,154.9100037,158.4049988,154.7850037,158.25,242000000
1986-05-01,154.2050018,154.2050018,154.9400024,153.7250061,154.9100037,228600000
1986-05-02,155.0099945,155.0099945,155.5850067,154.2050018,154.2050018,205200000
1986-05-05,157.1399994,157.1399994,157.4149933,155.0099945,155.0099945,198380000
1986-05-06,157.125,157.125,158.0899963,156.8549957,157.1399994,217000000
1986-05-07,156.2550049,156.2550049,157.125,155.3099976,157.125,232000000
1986-05-08,157.1600037,157.1600037,157.5299988,156.1799927,156.2550049,221000000
1986-05-09,157.9149933,157.9149933,157.9149933,156.3800049,157.1600037,231800000
1986-05-12,157.75,157.75,158.2550049,157.3600006,157.9149933,203000000
1986-05-13,157.0500031,157.0500031,157.9199982,156.4049988,157.75,215200000
1986-05-14,157.0050049,157.0050049,157.8150024,156.5449982,157.0500031,223800000
1986-05-15,155.7649994,155.7649994,157.1150055,155.3950043,157.0050049,216000000
1986-05-16,154.9949951,154.9949951,155.8600006,154.3899994,155.7649994,207600000
1986-05-19,155.3099976,155.3099976,155.5950012,154.875,154.9949951,185460000
1986-05-20,157.0099945,157.0099945,157.0500031,155,155.3099976,233200000
1986-05-21,157.4400024,157.4400024,158.3800049,156.9250031,157.0099945,275000000
1986-05-22,159.6300049,159.6300049,159.6750031,157.2599945,157.4400024,287800000
1986-05-23,160.1649933,160.1649933,160.3899994,159.4149933,159.6300049,230200000
1986-05-27,161.1750031,161.1750031,161.2149963,159.9400024,160.1649933,223600000
1986-05-28,161.3049927,161.3049927,162.0299988,160.6499939,161.1750031,263000000
1986-05-29,161.6199951,161.6199951,161.8200073,160.2899933,161.3049927,260800000
1986-05-30,163.1600037,163.1600037,163.6199951,161.5149994,161.6199951,266000000
1986-06-02,162.0299988,162.0299988,163.9799957,162,163.1600037,221200000
1986-06-03,162.1100006,162.1100006,162.2299957,161.3699951,162.0299988,240600000
1986-06-04,161.8249969,161.8249969,163.0899963,161.3999939,162.1100006,245400000
1986-06-05,162.3600006,162.3600006,162.8099976,161.7550049,161.8249969,251200000
1986-06-06,161.8849945,161.8849945,162.9049988,161.8849945,162.3600006,241200000
1986-06-09,158.6100006,158.6100006,161.9799957,158.2100067,161.8849945,230000000
1986-06-10,158.1049957,158.1049957,158.6999969,157.1750031,158.6049957,239600000
1986-06-11,160.0350037,160.0350037,160.0800018,158.1049957,158.1049957,249800000
1986-06-12,160.3650055,160.3650055,161.0449982,159.9499969,160.0350037,260200000
1986-06-13,162.3549957,162.3549957,162.5299988,160.3300018,160.3650055,278600000
1986-06-16,160.8000031,160.8000031,162.9250031,160.625,162.3549957,236800000
1986-06-17,158.5749969,158.5749969,161.2050018,158.4299927,160.8000031,238200000
1986-06-18,158.4799957,158.4799957,158.6649933,156.8650055,158.5749969,250800000
1986-06-19,159.2799988,159.2799988,160.1399994,158.2949982,158.4799957,222600000
1986-06-20,159.5850067,159.5850067,159.7100067,158.2949982,159.2799988,255200000
1986-06-23,159.5549927,159.5549927,160.5800018,159.3549957,159.5850067,227000000
1986-06-24,160.8000031,160.8000031,161.1000061,159.4299927,159.5549927,225800000
1986-06-25,162,162,162.5200043,160.8000031,160.8000031,248400000
1986-06-26,161.7200012,161.7200012,162.2550049,161.375,162,276600000
1986-06-27,161.6150055,161.6150055,162.0549927,161.2050018,161.7200012,257000000
1986-06-30,162.6150055,162.6150055,163.0700073,161.5350037,161.6150055,242600000
1986-07-01,163.3249969,163.3249969,163.6150055,162.6150055,162.6150055,265600000
1986-07-02,163.9600067,163.9600067,164.1999969,163.3200073,163.3249969,272600000
1986-07-03,164.5149994,164.5149994,164.5599976,163.6000061,163.9600067,208000000
1986-07-07,157.625,157.625,164.5449982,157.5899963,164.5149994,224200000
1986-07-08,153.2599945,153.2599945,157.625,152.4299927,157.625,274400000
1986-07-09,155.4100037,155.4100037,155.6499939,153.1699982,153.2599945,240400000
1986-07-10,154.2899933,154.2899933,156.3450012,153.1450043,155.4100037,214600000
1986-07-11,152.8549957,152.8549957,154.4450073,152.7250061,154.2899933,209200000
1986-07-14,149.2850037,149.2850037,152.9199982,149.0099945,152.8549957,217200000
1986-07-15,146.2550049,146.2550049,149.2850037,145.3200073,149.2850037,265400000
1986-07-16,147.3950043,147.3950043,148.4499969,146.2550049,146.2550049,231600000
1986-07-17,148.4649963,148.4649963,148.75,147.2550049,147.3950043,224400000
1986-07-18,147.7599945,147.7599945,148.5249939,146.4799957,148.4649963,221800000
1986-07-21,147.0749969,147.0749969,147.9450073,146.7949982,147.7599945,163520000
1986-07-22,147.4049988,147.4049988,148.1649933,146.5850067,147.0749969,191700000
1986-07-23,147.1750031,147.1750031,148.0149994,147.1199951,147.4049988,203200000
1986-07-24,147.2799988,147.2799988,148.1549988,146.9799957,147.1750031,227000000
1986-07-25,148.2599945,148.2599945,148.4149933,147.2799988,147.2799988,190080000
1986-07-28,145.5050049,145.5050049,148.7350006,145.2149963,148.2599945,178260000
1986-07-29,144.2050018,144.2050018,145.5700073,144.0350037,145.5050049,195440000
1986-07-30,144.5200043,144.5200043,144.6699982,142.7299957,144.2050018,206200000
1986-07-31,144.7050018,144.7050018,145.6100006,144.5650024,144.5850067,197280000
1986-08-01,144.1900024,144.1900024,145.7649994,144.0050049,144.7050018,198740000
1986-08-04,142.5249939,142.5249939,144.1900024,141.6450043,144.1900024,162840000
1986-08-05,141.8600006,141.8600006,142.9100037,141.75,142.5249939,203800000
1986-08-06,140.5449982,140.5449982,141.8600006,140.3000031,141.8600006,187480000
1986-08-07,140.6950073,140.6950073,141.4700012,140.1799927,140.5449982,203200000
1986-08-08,142.2949982,142.2949982,142.5500031,140.6950073,140.6950073,200200000
1986-08-11,145.4400024,145.4400024,145.5149994,142.2949982,142.2949982,188300000
1986-08-12,147.0599976,147.0599976,147.3150024,145.4400024,145.4400024,221200000
1986-08-13,148.8350067,148.8350067,149.4450073,147.0599976,147.0599976,242600000
1986-08-14,149.9949951,149.9949951,150.1399994,148.625,148.8350067,221600000
1986-08-15,149.5749969,149.5749969,150.3000031,149.1849976,150.0050049,197540000
1986-08-18,149.0700073,149.0700073,150.0700073,148.8300018,149.5749969,170800000
